horse_no,date,work_type,racecourse,track,workout_details,gear
J346,20/12/2025,馬匹水中步行機,從化,,,
J346,20/12/2025,游水,從化,,,
J346,19/12/2025,馬匹水中步行機,從化,,,
J346,18/12/2025,馬匹水中步行機,從化,,,
J346,18/12/2025,游水,從化,,,
J346,17/12/2025,馬匹水中步行機,從化,,,
J346,17/12/2025,游水,從化,,,
J346,16/12/2025,馬匹水中步行機,從化,,,
J346,16/12/2025,游水,從化,,,
J346,15/12/2025,馬匹水中步行機,從化,,,
J346,15/12/2025,游水,從化,,,
J346,14/12/2025,馬匹水中步行機,從化,,,
J346,14/12/2025,游水,從化,,,
J346,13/12/2025,馬匹水中步行機,從化,,,
J346,13/12/2025,游水,從化,,,
J346,07/12/2025,出賽,沙田,草地,1400M (艾道拿) (10/14),B/TT
J346,07/12/2025,踱步,沙田,彭福公園,彭福公園 踱步 (助手),H
J346,06/12/2025,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
J346,06/12/2025,游水,沙田,,,
J346,05/12/2025,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
J346,05/12/2025,游水,沙田,,,
J346,04/12/2025,游水,沙田,,,
J346,04/12/2025,快操,沙田,全天候,26.7 (26.7) (艾道拿),H
J346,04/12/2025,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J346,03/12/2025,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
J346,03/12/2025,游水,沙田,,,
J346,02/12/2025,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
J346,02/12/2025,游水,沙田,,,
J346,01/12/2025,游水,沙田,,,
J346,01/12/2025,快操,沙田,全天候,26.7 (26.7) (助手),H
J346,01/12/2025,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J346,30/11/2025,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,29/11/2025,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
J346,29/11/2025,游水,沙田,,,
J346,28/11/2025,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
J346,28/11/2025,游水,沙田,,,
J346,27/11/2025,游水,沙田,,,
J346,27/11/2025,踱步,沙田,河畔跑道,河畔跑道 踱步 (助手),H
J346,26/11/2025,游水,沙田,,,
J346,25/11/2025,試閘,沙田,全天候,第2組 (艾兆禮) 1200M 銳目 24.0 22.4 23.8 (1.10.21),B
J346,25/11/2025,踱步,沙田,飛機場,飛機場 踱步 (助手),H
